Rank,Country,Score 2016
1,Iraq,9.96
2,Afghanistan,9.444
3,Nigeria,9.314
4,Pakistan,8.613
5,Syria,8.587
6,Yemen,8.076
7,Somalia,7.548
8,India,7.484
9,Egypt,7.328
10,Libya,7.283
11,Ukraine,7.132
12,Philippines,7.098
13,Cameroon,7.002
14,Turkey,6.738
15,Thailand,6.706
16,Niger,6.682
17,Democratic Republic of the Congo,6.633
18,Sudan,6.6
19,Kenya,6.578
20,Central African Republic,6.518
21,South Sudan,6.497
22,Bangladesh,6.479
23,China,6.108
24,Lebanon,6.068
25,Mali,6.03
26,Colombia,5.954
27,Chad,5.83
28,Palestine,5.659
29,France,5.603
30,Russia,5.43
31,Burundi,5.417
32,Saudi Arabia,5.404
33,Israel,5.248
34,United Kingdom,5.08
35,Tunisia,4.963
36,United States of America,4.877
37,Kuwait,4.449
38,Indonesia,4.429
39,Nepal,4.415
40,Uganda,4.327
41,Germany,4.308
42,Algeria,4.282
43,Greece,4.218
44,Bahrain,4.206
45,Myanmar,4.167
46,Sweden,3.984
47,Iran,3.949
48,Paraguay,3.84
49,Tanzania,3.832
50,Mexico,3.723
51,Mozambique,3.536
52,South Africa,3.531
53,Sri Lanka,3.486
54,Ethiopia,3.454
55,Ireland,3.429
56,Tajikistan,3.086
57,Peru,2.984
58,Jordan,2.858
59,Australia,2.742
60,Chile,2.699
61,Malaysia,2.691
62,Bosnia and Herzegovina,2.675
63,Burkina Faso,2.623
64,Senegal,2.598
65,Rwanda,2.589
66,Canada,2.518
67,Japan,2.447
68,Finland,2.377
69,Italy,2.363
70,Kosovo,2.205
71,Czech Republic,2.179
72,Cote d' Ivoire,2.177
73,Denmark,2.152
74,Nicaragua,2.093
75,Norway,2.077
76,Cyprus,2.04
77,Venezuela,1.998
78,Macedonia (FYR),1.86
79,Djibouti,1.78
80,Brazil,1.74
81,Madagascar,1.671
82,Bulgaria,1.631
83,Dominican Republic,1.562
84,Kyrgyz Republic,1.445
85,Guinea,1.403
86,Belarus,1.357
87,Georgia,1.257
88,Belgium,1.245
89,Spain,1.203
90,Honduras,1.144
90,Guatemala,1.144
92,Estonia,1.103
92,Albania,1.103
94,Kazakhstan,0.934
95,Morocco,0.892
95,Lesotho,0.892
97,Netherlands,0.864
98,Ecuador,0.793
99,Laos,0.695
100,Eritrea,0.534
101,Trinidad and Tobago,0.499
101,Argentina,0.499
103,United Arab Emirates,0.422
104,Zimbabwe,0.413
105,Republic of the Congo,0.365
106,Ghana,0.346
106,Azerbaijan,0.346
108,Switzerland,0.288
108,Armenia,0.288
110,Liberia,0.25
110,Iceland,0.25
112,Qatar,0.23
112,New Zealand,0.23
112,South Korea,0.23
112,Hungary,0.23
116,Austria,0.182
117,Uzbekistan,0.154
117,Montenegro,0.154
119,Jamaica,0.115
119,Bhutan,0.115
121,Serbia,0.086
122,Taiwan,0.077
122,Cambodia,0.077
122,Guinea-Bissau,0.077
125,Mauritania,0.067
126,Portugal,0.058
126,Croatia,0.058
128,Bolivia,0.038
129,Moldova,0.019
130,Zambia,0
130,Vietnam,0
130,Uruguay,0
130,Timor-Leste,0
130,Turkmenistan,0
130,Togo,0
130,Swaziland,0
130,Slovenia,0
130,Slovakia,0
130,El Salvador,0
130,Sierra Leone,0
130,Singapore,0
130,Romania,0
130,North Korea,0
130,Poland,0
130,Papua New Guinea,0
130,Panama,0
130,Oman,0
130,Namibia,0
130,Malawi,0
130,Mauritius,0
130,Mongolia,0
130,Latvia,0
130,Lithuania,0
130,Haiti,0
130,Guyana,0
130,Equatorial Guinea,0
130,The Gambia,0
130,Gabon,0
130,Cuba,0
130,Costa Rica,0
130,Botswana,0
130,Benin,0
130,Angola,0
