"iso3c","Economic.PC2","Environmental.PC2","Political.PC2","Security.PC2","Societal.PC2","fragility","fragility.level"
"SOM",0.87,1.18,1.21,0.22,0.85,-4.89535830988741,"Extreme Fragility"
"SSD",0.77,0.34,1.23,-1.35,0.82,-4.18325979499109,"Extreme Fragility"
"CAF",1.42,-1.48,0.36,-1.27,-1.19,-3.8742013727781,"Extreme Fragility"
"COD",-0.91,-0.23,-0.75,1.58,-0.12,-3.82383383482773,"Extreme Fragility"
"YEM",3.19,1.14,0.73,-1.52,0.65,-3.56440216878521,"Extreme Fragility"
"SDN",2.31,1.29,1.25,-0.89,1.35,-3.53160114891523,"Extreme Fragility"
"ERI",-0.5,0.1,-0.6,0.72,1.15,-3.18181333603464,"Extreme Fragility"
"AFG",2.16,0.88,0.99,-2.65,-0.88,-3.11485854271299,"Extreme Fragility"
"TCD",-0.59,-0.59,-0.84,1.05,0.45,-3.10932041803399,"Extreme Fragility"
"ETH",-2.6,0.49,0.14,1.63,1.01,-2.90567749819779,"Extreme Fragility"
"BDI",-1.06,-0.03,-0.5,0.93,0.38,-2.90173778214308,"Extreme Fragility"
"HTI",-0.3,0.63,0.89,2.34,-1.41,-2.84946986421898,"Extreme Fragility"
"SYR",2.79,2.66,-0.93,-7.19,2.14,-2.69645764857211,"Extreme Fragility"
"IRQ",3.52,1.7,2,-2.4,0.56,-2.64391894401414,"Extreme Fragility"
"MLI",0.24,-1.34,1.8,0.84,-1.81,-2.57851101403517,"Extreme Fragility"
"GIN",-0.91,-0.71,0.21,2.23,-0.46,-2.47637206220598,"Fragile"
"NER",0.9,-1.03,1.22,1.65,-2.37,-2.47071163803219,"Fragile"
"PSE",3.78,1.02,-0.42,0.83,0.86,-2.37944240336323,"Fragile"
"MMR",-1.08,2.17,1.14,0.44,1.66,-2.37337541391715,"Fragile"
"KEN",0.01,-0.26,1.75,0.94,-1.98,-2.34522583236665,"Fragile"
"ZWE",-1.7,-0.81,-0.44,0.72,-1.31,-2.23177496785115,"Fragile"
"NGA",0.38,-0.77,2.2,0.51,-1.09,-2.21892598672017,"Fragile"
"MOZ",-0.26,-0.89,-0.3,1.11,-1.55,-2.16581352635598,"Fragile"
"UGA",-1.91,-0.53,1.42,0.55,-0.97,-2.16415995206496,"Fragile"
"GNB",-0.01,-1.72,-0.36,1.29,-0.7,-2.16371057514273,"Fragile"
"LBR",-0.62,-1.6,0.73,1.74,-1.36,-2.12591293751781,"Fragile"
"PAK",1.58,1.72,1.64,-0.76,0.81,-2.10990176036617,"Fragile"
"MRT",3.48,0.34,0.15,0.73,-0.33,-2.07354491859056,"Fragile"
"GMB",0.12,-0.67,0.34,2,-0.62,-2.00472592804993,"Fragile"
"GTM",-0.03,1.21,-0.2,2.56,-0.43,-1.95790768588598,"Fragile"
"PRK",-1.36,1.29,-0.99,-0.11,2.15,-1.94545472339925,"Fragile"
"AGO",-0.9,-0.39,-0.48,0.86,-0.19,-1.88407108046837,"Fragile"
"SLE",-1.27,-2.33,0.43,1.74,-1.2,-1.88190638346991,"Fragile"
"HND",1.08,1.01,-0.23,4.21,-1.02,-1.86022337251452,"Fragile"
"TZA",-1.11,-0.75,0.73,1.04,-0.95,-1.83483274312674,"Fragile"
"VEN",0.3,2.05,0.11,2.73,0.38,-1.79515626509857,"Fragile"
"PNG",-1.6,-0.1,1.43,2.33,-1.41,-1.75131822283616,"Fragile"
"MDG",-2.05,-0.26,-0.44,1.38,-1.39,-1.73449952401576,"Fragile"
"COG",-1.14,-0.74,0.31,1.2,-0.69,-1.72174065222026,"Fragile"
"BGD",0.22,1.84,-0.07,0.53,0.06,-1.66818968900755,"Fragile"
"BFA",-1.57,-1.71,0.81,0.89,-2.06,-1.65380604435948,"Fragile"
"CMR",-1.22,-0.74,-1.05,0.56,-0.44,-1.65151078418437,"Fragile"
"CIV",-0.42,-1.36,0.1,1.01,-1.29,-1.63653558760611,"Fragile"
"ZMB",-0.15,-1.88,1.04,1.55,-1.87,-1.59303468002591,"Fragile"
"RWA",-2.52,-0.45,-0.14,0.46,-0.67,-1.58689617939058,"Fragile"
"SWZ",0.71,-1.5,-1.2,1.69,0.37,-1.58171433797069,"Fragile"
"EGY",2.47,1.73,-0.66,-0.61,1.3,-1.41340353432714,"Fragile"
"LAO",-2.46,0.9,-1.48,0.68,1.3,-1.40657976415555,"Fragile"
"LSO",1.55,-2.8,0.32,2.35,-2.2,-1.4044649223414,"Fragile"
"TLS",0.57,-0.11,-0.05,1.89,-1.57,-1.39358204951515,"Fragile"
"COM",0.61,-1.62,0.33,1.29,-1.19,-1.3926232718263,"Fragile"
"SLB",-0.26,0.02,0.95,1.23,-1.97,-1.37527166382447,"Fragile"
"MWI",-0.86,-1.78,-0.21,1.6,-1.38,-1.33979318294828,"Fragile"
"KHM",-2.48,0.73,-0.63,0.43,0.78,-1.27019448091156,"Fragile"
"LBY",4.22,1.27,0.67,-2.8,1.37,-1.25735235502341,"Fragile"
"TJK",0.5,1.29,-1.34,0.61,1.58,-1.24796013507041,"Fragile"
"SEN",1.08,-1.11,0.89,0.38,-1.27,-1.16222803317501,"Rest of the World"
"IRN",2.63,2.72,-0.08,-0.41,1.59,-1.13546137841006,"Rest of the World"
"NPL",-2.01,0.7,0.77,0.09,-0.94,-1.1185689743138,"Rest of the World"
"TKM",-0.82,1.83,-1.32,0.58,2.98,-1.09245106909815,"Rest of the World"
"DJI",0.41,-0.03,-0.55,0.15,0.19,-1.03355746538437,"Rest of the World"
"TGO",-1.42,-1.28,-0.72,1.4,-0.49,-1.0177533141323,"Rest of the World"
"IND",0.52,1.46,1.67,0.04,-0.16,-0.980451612218384,"Rest of the World"
"NIC",-0.07,1.03,0.31,0.91,-0.64,-0.98026130802397,"Rest of the World"
"COL",-0.32,1.68,1.31,0.37,-0.5,-0.948580052764595,"Rest of the World"
"DZA",1.41,1.34,-1.04,-0.43,1.33,-0.944270163728341,"Rest of the World"
"ECU",-1.55,1.91,0.26,1.12,-0.45,-0.939981684890581,"Rest of the World"
"MEX",-0.2,1.81,1.06,0.25,0.09,-0.936134440267111,"Rest of the World"
"THA",-1.46,2.05,-0.81,-0.62,1.48,-0.808577889533755,"Rest of the World"
"UZB",-0.51,1.99,-0.85,0.17,1.61,-0.75030444521192,"Rest of the World"
"NAM",1.1,-1.56,-0.41,0.7,-3.35,-0.710263322192308,"Rest of the World"
"PHL",-0.26,1.68,1.5,0.08,-0.4,-0.635962263127196,"Rest of the World"
"GAB",0.99,-1.53,-0.77,0.6,-0.79,-0.576368572575339,"Rest of the World"
"PRY",-1.43,-0.71,0.57,0.75,-0.78,-0.567238729646839,"Rest of the World"
"CHN",-1.76,2.77,-2.04,-0.57,1.45,-0.561501623631814,"Rest of the World"
"STP",0.77,-1.74,1.06,1.24,-1.59,-0.556146783277402,"Rest of the World"
"BTN",-0.32,-0.47,0.45,2.06,-0.45,-0.556012730414865,"Rest of the World"
"BOL",-1.81,-0.25,0.62,1.01,-1.04,-0.477097819489929,"Rest of the World"
"AZE",-0.74,2,-1.73,-0.06,1.33,-0.448905605558033,"Rest of the World"
"BEN",-1.02,-2,-0.06,0.77,-1.61,-0.446787376174759,"Rest of the World"
"LBN",2.12,0.95,-0.53,-1.56,-0.21,-0.392705538095418,"Rest of the World"
"IDN",-0.47,1.13,1.63,-0.21,-0.57,-0.36795899656373,"Rest of the World"
"MDV",2.14,0.38,-0.31,0.82,-0.03,-0.348040729987913,"Rest of the World"
"PER",-1.73,1.47,1.28,0.55,-0.56,-0.312116940641025,"Rest of the World"
"KGZ",-0.06,0.87,0.34,0.95,-0.1,-0.297539400797565,"Rest of the World"
"SLV",-0.81,0.38,0.02,2.09,-0.36,-0.271982044278029,"Rest of the World"
"VNM",-1.84,1.73,-0.58,0.06,1.19,-0.22393352796528,"Rest of the World"
"RUS",-1.08,2.21,-0.34,-1.54,1.56,-0.143923649483723,"Rest of the World"
"DOM",0.4,0.59,-0.39,0.62,-1.47,-0.1020398558041,"Rest of the World"
"UKR",0.06,0.82,0.13,-2.61,1.21,-0.0299633923110207,"Rest of the World"
"LKA",-1.24,1.1,0.45,-0.63,0.73,-0.023499908944731,"Rest of the World"
"GUY",0.62,-0.82,0.61,0.94,-0.94,-0.00772328533808195,"Rest of the World"
"MAR",1.17,0.11,0.29,0.05,-0.41,0.0464683517875034,"Rest of the World"
"GHA",-1.44,-1.56,0.32,0.99,-1.49,0.0694743499687782,"Rest of the World"
"VUT",0.09,-0.19,-0.17,0.83,-2.04,0.112887034144723,"Rest of the World"
"TUR",0.93,2.08,-0.18,-1.88,0.87,0.12674375317155,"Rest of the World"
"ZAF",2.17,-0.56,1.08,0.93,-1.78,0.131173309838784,"Rest of the World"
"FJI",0.76,0.31,-0.68,0.8,-0.83,0.175546663896029,"Rest of the World"
"OMN",1.06,0.59,-0.51,-0.71,-1.45,0.197833693688712,"Rest of the World"
"BRA",-0.35,-0.31,1.6,0.69,-1.43,0.235995800499828,"Rest of the World"
"CPV",1.15,-1.55,0.61,0.86,-1.64,0.249895137764647,"Rest of the World"
"PAN",-1.15,0.65,-0.38,1.88,-1.59,0.280625457150313,"Rest of the World"
"JOR",2.39,0.62,-1.04,-0.79,0.59,0.338053654498508,"Rest of the World"
"KAZ",-1.66,0.53,-1.42,0.6,0.8,0.358160109811218,"Rest of the World"
"BWA",0.08,-1.64,0.47,0.42,-1.68,0.362480055222033,"Rest of the World"
"CUB",-0.61,1.61,-1.4,-0.11,2.69,0.364778605131406,"Rest of the World"
"JAM",1.33,-0.37,-0.27,2,-0.58,0.395722604703156,"Rest of the World"
"SUR",-0.08,-0.74,0.5,0.82,-1.53,0.417489696014846,"Rest of the World"
"MNG",-2.3,-0.72,0.68,0.7,-0.47,0.472682418364618,"Rest of the World"
"SAU",0.32,0.32,-3.06,-1.29,1.63,0.475683677617339,"Rest of the World"
"KWT",-0.26,-0.41,-0.59,-0.59,-0.84,0.496911402340008,"Rest of the World"
"SYC",-0.1,-0.74,-1.26,0.77,-0.9,0.524363251629021,"Rest of the World"
"ARG",-0.04,-0.04,1.12,0.59,-0.7,0.534159734597994,"Rest of the World"
"ARM",1.49,0.41,-1.16,-0.31,0.6,0.53648585777693,"Rest of the World"
"TUN",1.73,0.13,0.57,-0.08,0.25,0.550454237331724,"Rest of the World"
"BLR",-0.72,0.37,-0.94,-0.13,2.06,0.562389381513473,"Rest of the World"
"MYS",-1.61,0.72,0.01,-0.48,1.04,0.583515518924072,"Rest of the World"
"MDA",0.04,-0.04,1.07,0.44,0.99,0.646851001281288,"Rest of the World"
"MKD",2.17,-0.25,-1.1,-0.06,1.53,0.65198707405026,"Rest of the World"
"QAT",-1.25,-0.27,-2.12,-0.64,0.5,0.756840664010776,"Rest of the World"
"BIH",3.15,0.51,-0.03,-0.29,1.06,0.795883837461985,"Rest of the World"
"GEO",-0.34,0.41,0,-0.39,0.53,0.884201094874598,"Rest of the World"
"BHR",-0.25,-1.18,-0.02,-1.31,0.7,0.940835881658466,"Rest of the World"
"SRB",1.78,0.9,0.88,-0.04,0.92,0.94647519149015,"Rest of the World"
"TTO",1.2,-0.73,-0.4,0.84,-0.3,1.07293171116633,"Rest of the World"
"ALB",1.7,0.19,0.82,-0.63,0.17,1.19684637378486,"Rest of the World"
"MNE",1.91,0.36,-0.49,-0.27,0.69,1.2877797127105,"Rest of the World"
"MUS",0.57,-0.85,-0.53,1.11,-0.22,1.31964258758297,"Rest of the World"
"CRI",-0.29,0.74,-0.93,1.63,-1.59,1.32308702355481,"Rest of the World"
"ARE",-0.96,0.33,-0.88,-0.91,0.62,1.46621602263624,"Rest of the World"
"CHL",-1.28,0.47,0.15,-1.01,-1.19,1.61509090746426,"Rest of the World"
"ROU",-0.38,-0.01,1.1,-1.16,0.13,1.74875810985579,"Rest of the World"
"BGR",0.28,-0.1,0,-1.16,0.95,1.80689268686752,"Rest of the World"
"ISR",-0.53,0.14,0.94,-3.06,0.73,1.87280591875697,"Rest of the World"
"URY",-0.63,-1.46,0.25,-0.66,-0.93,2.1016064808045,"Rest of the World"
"HUN",-0.02,-0.07,0.49,-0.85,0.78,2.23265910239625,"Rest of the World"
"KOR",-0.78,0.39,0.9,-0.53,0.82,2.24090446848047,"Rest of the World"
"GRC",3.28,0.41,0.96,-2.06,0.79,2.25507527264746,"Rest of the World"
"CYP",1.2,0.22,0.37,-1.55,1.1,2.28465691560481,"Rest of the World"
"HRV",1.31,0.29,0.5,-1.3,1.02,2.36398088422226,"Rest of the World"
"ITA",1.77,0.56,0.04,-1.72,0.42,2.52668922181226,"Rest of the World"
"BRB",0.54,-1.38,0.05,-0.04,0.1,2.53300499314141,"Rest of the World"
"SVK",0.04,-0.45,0.92,-1.55,1.05,2.68592986213326,"Rest of the World"
"LVA",-0.89,-1.14,-0.58,-0.87,0.3,2.73388483520437,"Rest of the World"
"ESP",1.87,-0.06,0.39,-1.81,0.73,2.80054390737391,"Rest of the World"
"POL",-0.39,-0.7,0.77,-1.37,0.61,2.80974304395934,"Rest of the World"
"PRT",0.9,-0.31,0.56,-1.61,0.14,2.90200217468259,"Rest of the World"
"JPN",0.07,0.8,-0.14,-0.44,0.57,3.01528054080899,"Rest of the World"
"LTU",-0.98,-1.03,-0.42,-1.17,0.62,3.07750460442282,"Rest of the World"
"USA",-0.2,0.98,-1.41,-2.11,-0.52,3.09669227347948,"Rest of the World"
"CZE",-0.73,-1.01,0.95,-1.82,1.1,3.13520118161897,"Rest of the World"
"FRA",0.11,-0.17,0.48,-2.11,0.86,3.16464508940802,"Rest of the World"
"SGP",-0.86,-2.08,-0.61,-1.3,0.65,3.31934598766019,"Rest of the World"
"EST",-1.31,-1.56,0.01,-1.5,0.67,3.32091340395699,"Rest of the World"
"IRL",0.22,-0.93,-1.8,-0.56,0.31,3.37436144609891,"Rest of the World"
"AUS",-1.1,0.34,-1.12,-0.88,0.67,3.45308154678855,"Rest of the World"
"SVN",-0.05,-0.89,-0.77,-1.57,1.27,3.46021851917946,"Rest of the World"
"BEL",0.25,-1.02,0.66,-1.87,0.84,3.47838367517189,"Rest of the World"
"CAN",-0.63,0.22,-1.02,-1.52,0.48,3.52896413447019,"Rest of the World"
"NZL",-1.2,0.1,-1.71,-0.15,-0.16,3.55637961298403,"Rest of the World"
"AUT",-0.72,-0.7,-0.36,-0.95,1.06,3.62468976948323,"Rest of the World"
"ISL",-1.44,-1.29,-1.51,-0.38,0.59,3.66371713943239,"Rest of the World"
"DEU",-1.02,-0.65,0.44,-1.97,1.46,3.67149344011295,"Rest of the World"
"LUX",-0.91,-1.75,-0.32,-1.59,0.16,3.69940957597307,"Rest of the World"
"SWE",-0.98,-1.19,-1.2,-0.64,1.01,3.73241252107588,"Rest of the World"
"FIN",-0.41,-1.67,-0.57,-0.36,0.95,3.75219180119209,"Rest of the World"
"GBR",-0.57,-0.94,-0.76,-2.37,0.23,3.77438877239645,"Rest of the World"
"NLD",-0.9,-0.96,-0.68,-1.66,0.98,3.8599081961984,"Rest of the World"
"NOR",-1.54,-1.51,-0.41,-1.77,0.31,3.96360375461022,"Rest of the World"
"CHE",-1.3,-0.96,-2.18,-0.79,0.57,4.05084158639541,"Rest of the World"
"DNK",-1.03,-1.59,-0.5,-1.56,1.09,4.12692753169116,"Rest of the World"
